local,tipo,denominacion,latitud,longitud,elevacion,referencia,condicion,trafico,provincia
ACB,Aeródromo,CORONEL BOGADO/AGROSERVICIOS,-60.57066,-33.27226,44,Coronel Bogado,PRIVADO,Nacional,SANTA FÉ
ACH,Aeródromo,GENERAL ACHA,-64.61351,-37.40164,277,General Acha,PUBLICO,Nacional,LA PAMPA
ACM,Aeródromo,ARRECIFES/LA CURA MALAL,-60.1417,-34.07574,37,Arrecifes,PRIVADO,Nacional,BUENOS AIRES
ADO,Aeródromo,PUERTO DESEADO,-65.9041,-47.73511,82,Puerto Deseado,PUBLICO,Nacional,SANTA CRUZ
ADT,Aeródromo,BANDERA/AGROSERVICIOS DOÑA TERESA,-62.26462,-28.85541,75,Bandera,PRIVADO,Nacional,SANTIAGO DEL ESTERO
ADU,Aeródromo,BANDERA/DUTTO,-62.23812,-28.86691,87,Bandera,PRIVADO,Nacional,SANTIAGO DEL ESTERO
AER,Aeródromo,BUENOS AIRES/AEROPARQUE J. NEWBERY,-58.41638889,-34.55888889,5.6,Ciudad de Buenos Aires,PUBLICO,Internacional,CIUDAD AUTÓNOMA DE BUENOS AIRES
AGI,Aeródromo,PIEDRA DEL ÁGUILA,-70.01075,-40.19232,649,Piedra del Águila,PRIVADO,Nacional,NEUQUÉN
AGR,Aeródromo,ALTA GRACIA,-64.39388889,-31.65111111,533,Alta Gracia,PUBLICO,Nacional,CÓRDOBA
AII,Aeródromo,CHACABUCO/LAS DOS A,-60.51661,-34.81116,60,Chacabuco,PRIVADO,Nacional,BUENOS AIRES
AJA,Aeródromo,LA LAJA,-68.47305556,-31.35138889,650,La Laja,PRIVADO,Nacional,SAN JUAN
ALC,Aeródromo,AMEGHINO/LA CHACRA,-62.52293,-34.80942,109,Florentino Ameghino,PRIVADO,Nacional,BUENOS AIRES
ALL,Aeródromo,ALLEN,-67.80277778,-38.95833333,290,Allen,PRIVADO,Nacional,RÍO NEGRO
ALR,Aeródromo,ALEJANDRO ROCA,-63.73,-33.34861111,210,Alejandro Roca,PRIVADO,Nacional,CÓRDOBA
ALT,Aeródromo,CRUZ ALTA,-61.83694444,-33.00777778,97,Cruz Alta,PUBLICO,Nacional,CÓRDOBA
ALV,Aeródromo,ALVEAR/AGROALVEAR SRL,-60.66682,-33.06853,32,Alvear,PRIVADO,Nacional,SANTA FÉ
AMA,Aeródromo,ROBERTS/LA AMALIA,-62.01657,-35.10043,100,Roberts,PRIVADO,Nacional,BUENOS AIRES
AME,Aeródromo,AMEGHINO/SIGFRIDO ROHR,-62.46787,-34.83057,110,Florentino Ameghino,PRIVADO,Nacional,BUENOS AIRES
AMG,Aeródromo,AMEGHINO,-62.48266,-34.84541,110,Florentino Ameghino,PRIVADO,Nacional,BUENOS AIRES
ANA,Aeródromo,PARANÁ/AEROCLUB,-60.37388889,-31.75777778,60,La Picada,PUBLICO,Nacional,ENTRE RÍOS
AND,Aeródromo,ANDALGALÁ,-66.34277778,-27.62805556,900,Andalgalá,PRIVADO,Nacional,CATAMARCA
APO,Aeródromo,APÓSTOLES,-55.76555556,-27.90333333,117,Apóstoles,PRIVADO,Nacional,MISIONES
ARB,Aeródromo,ARRIBEÑOS,-61.38666667,-34.22194444,82,Arribeños,PUBLICO,Nacional,BUENOS AIRES
ARS,Aeródromo,ALTO RÍO SENGUERR/D. C. SZLAPELIS,-70.81282,-45.0132,697,Alto Río Senguerr,PUBLICO,Nacional,CHUBUT
ARY,Aeródromo,ARROYITO/ARCOR,-63.005,-31.42222222,148,Arroyito,PUBLICO,Nacional,CÓRDOBA
ATE,Aeródromo,ZÁRATE,-59.08266,-34.11829,26,Zárate,PUBLICO,Nacional,BUENOS AIRES
ATN,Aeródromo,TRENQUE LAUQUEN/LA ARGENTINA,-62.70635,-35.99773,95,Trenque Lauquen,PRIVADO,Nacional,BUENOS AIRES
AUL,Aeródromo,AMEGHINO/AUGUSTO LEGUIZAMÓN,-62.47709,-34.81797,109,Florentino Ameghino,PRIVADO,Nacional,BUENOS AIRES
AVA,Aeródromo,ALVEAR/AEROPARQUE ROSARIO,-60.59756,-33.04691,26,Alvear,PUBLICO,Nacional,SANTA FÉ
AVL,Aeródromo,AVELLANEDA/PRESIDENTE AVELLANEDA,-59.6575,-29.10611111,45,Avellaneda,PUBLICO,Nacional,SANTA FÉ
AYA,Aeródromo,AYACUCHO,-58.47305556,-37.1625,77,Ayacucho,PUBLICO,Nacional,BUENOS AIRES
BAD,Aeródromo,BERÓN DE ASTRADA/DINALUCA S.A.,-57.64416667,-27.38277778,67,Berón de Astrada,PRIVADO,Nacional,CORRIENTES
BAI,Aeródromo,LAGO BUENOS AIRES,-70.94805556,-46.57611111,387,Perito Moreno,PRIVADO,Nacional,SANTA CRUZ
BAL,Aeródromo,BALCARCE,-58.34361111,-37.91527778,120,Balcarce,PUBLICO,Nacional,BUENOS AIRES
BAR,Aeródromo,SAN CARLOS DE BARILOCHE,-71.15777778,-41.15111111,846,San Carlos de Bariloche,PUBLICO,Internacional,RÍO NEGRO
BAS,Aeródromo,BASAVILBASO,-58.8816,-32.3616,60,Basavilbaso,PUBLICO,Nacional,ENTRE RÍOS
BCA,Aeródromo,BAHÍA BLANCA/COMANDANTE ESPORA,-62.15333333,-38.7275,75,Bahía Blanca,PUBLICO,Nacional,BUENOS AIRES
BDO,Aeródromo,BARADERO,-59.49279,-33.82122,29,Baradero,PUBLICO,Nacional,BUENOS AIRES
BDR,Aeródromo,BAHÍA DORADA,-65.08222222,-41.84277778,36,Sierra Grande,PRIVADO,Nacional,RÍO NEGRO
BEL,Aeródromo,BELL VILLE,-62.70194444,-32.65833333,131,Bell Ville,PUBLICO,Nacional,CÓRDOBA
BEX,Aeródromo,BARADERO,-59.46911,-33.85864,26,Pueblo Alsina,PRIVADO,Nacional,BUENOS AIRES
BHB,Aeródromo,BAHÍA BLANCA/AEROCLUB,-62.3525,-38.67194444,15,Bahía Blanca,PRIVADO,Nacional,BUENOS AIRES
BHT,Aeródromo,BRAGADO/HARAS TRELLIRIS,-60.57884,-35.33147,60,Bragado,PRIVADO,Nacional,BUENOS AIRES
BIO,Aeródromo,EL TURBIO/28 DE NOVIEMBRE,-72.22034,-51.60502,273,El Turbio,PUBLICO,Nacional,SANTA CRUZ
BLA,Aeródromo,BALCARCE/EA. LA ALBORADA,-58.18833333,-37.46277778,64,Balcarce,PRIVADO,Nacional,BUENOS AIRES
BLC,Aeródromo,BALCARCE/EA. LOS CARDOS,-58.03821,-37.73529,120,Balcarce,PRIVADO,Nacional,BUENOS AIRES
BLE,Aeródromo,BALCARCE/EA. LA ESTRELLA,-58.66611111,-37.55944444,139,Balcarce,PRIVADO,Nacional,BUENOS AIRES
BLL,Aeródromo,MIRAMAR/LAS CORTADERAS,-58.10861111,-38.35472222,16,Mechongue,PRIVADO,Nacional,BUENOS AIRES
BLN,Aeródromo,LONDRES/BELÉN,-67.095,-27.70805556,1200,Belén,PRIVADO,Nacional,CATAMARCA
BLR,Aeródromo,BOLIVAR,-61.07583333,-36.18666667,94,San Carlos de Bolivar,PUBLICO,Nacional,BUENOS AIRES
BMO,Aeródromo,BRAGADO/MALFATO,-60.50555556,-35.15166667,57,Bragado,PRIVADO,Nacional,BUENOS AIRES
BOE,Aeródromo,MORTEROS/AEROBOERO,-62.00809,-30.73091,96,Morteros,PUBLICO,Nacional,CÓRDOBA
BOG,Aeródromo,CORONEL BOGADO/FUMIGACIONES CAMPAGNUCCI,-60.66617,-33.32404,48,Coronel Bogado,PRIVADO,Nacional,SANTA FÉ
BOL,Aeródromo,EL BOLSÓN,-71.53215,-41.94323,348,El Bolsón,PUBLICO,Nacional,RÍO NEGRO
BOM,Aeródromo,BOMBAL/GRAN ANCONA,-61.30323,-33.43852,97,Bombal,PRIVADO,Nacional,SANTA FÉ
BOS,Aeródromo,LOBOS,-59.13666667,-35.21083333,29,Lobos,PUBLICO,Nacional,BUENOS AIRES
BPS,Aeródromo,BRINKMANN/PABLO SIERRA AEROAPLICACIONES,-62.05055556,-30.92944444,100,Brinckmann,PRIVADO,Nacional,CÓRDOBA
BRA,Aeródromo,BRAGADO,-60.48194444,-35.14527778,60,Bragado,PUBLICO,Nacional,BUENOS AIRES
BRF,Aeródromo,BAHÍA BLANCA/LA REFORMA,-63.28722,-38.7305,67,Bahía Blanca,PRIVADO,Nacional,BUENOS AIRES
BRQ,Aeródromo,BUTA RANQUIL/EL PORTÓN,-69.60972222,-37.195,870,Buta Ranquil,PRIVADO,Nacional,NEUQUÉN
BTA,Aeródromo,BELLA VISTA,-59.03805556,-28.52611111,55,Bella Vista,PUBLICO,Nacional,CORRIENTES
BTS,Aeródromo,CORRAL DE BUSTOS,-62.15138889,-33.28138889,120,Corral de Bustos,PRIVADO,Nacional,CÓRDOBA
CAF,Aeródromo,CAFAYATE,-65.93055556,-26.06416667,1639,Cafayate,PRIVADO,Nacional,SALTA
CAL,Aeródromo,CAMPO ARENAL,-66.58638889,-27.07222222,2324,Santa María,PRIVADO,Nacional,CATAMARCA
CAM,Aeródromo,CORRALITO/ALFONSO MENGO,-64.27944444,-32.02444444,545,Corralito,PRIVADO,Nacional,CÓRDOBA
CAT,Aeródromo,CATAMARCA,-65.75111111,-28.59305556,464,San Fernando del Valle de Catamarca,PUBLICO,Nacional,CATAMARCA
CAY,Aeródromo,SAN CAYETANO,-59.63027778,-38.33388889,100,San Cayetano,PRIVADO,Nacional,BUENOS AIRES
CBA,Aeródromo,CÓRDOBA/ING. AER. A. L. V. TARAVELLA,-64.20833333,-31.31,489,Córdoba,PUBLICO,Internacional,CÓRDOBA
CBB,Aeródromo,CAÑADA ROSQUIN/ByB SERVICIOS AGROPECUARIOS,-61.63196,-32.11159,73,Cañada Rosquín,PRIVADO,Nacional,SANTA FÉ
CBD,Aeródromo,CABILDO,-61.88416667,-38.49861111,159,Cabildo,PRIVADO,Nacional,BUENOS AIRES
CCA,Aeródromo,CURUZÚ CUATIÁ,-57.98277778,-29.7725,70,Curuzú Cuatiá,PUBLICO,Nacional,CORRIENTES
CCH,Aeródromo,CARLOS CASARES/HAYDEE,-61.405525,-35.6698945,82,Carlos Casares,PRIVADO,Nacional,BUENOS AIRES
CCI,Aeródromo,CALCHAQUÍ,-60.29201667,-29.85157222,56,Calchaquí,PRIVADO,Nacional,SANTA FÉ
CCM,Aeródromo,CARLOS CASARES/MALATINI,-61.36821,-35.56915,82,Carlos Casares,PRIVADO,Nacional,BUENOS AIRES
CCO,Aeródromo,CARLOS CASARES/OTTAVIANI,-61.35038,-35.64817,82,Carlos Casares,PRIVADO,Nacional,BUENOS AIRES
CCP,Aeródromo,CONCEPCIÓN,-65.61694444,-27.34472222,386,Concepción,PRIVADO,Nacional,TUCUMÁN
CCS,Aeródromo,CACHI,-66.1572,-25.10518,2510,Cachi,PRIVADO,Nacional,SALTA
CDA,Aeródromo,SARGENTO CABRAL/CONDOR DEL AIRE,-60.62857,-33.46586,56,Sargento Cabral,PRIVADO,Nacional,SANTA FÉ
CDI,Aeródromo,CARCARAÑÁ/DI GIUSEPPE,-61.12414,-32.89099,89,Carcarañá,PRIVADO,Nacional,SANTA FÉ
CDL,Aeródromo,CAÑADA DE LUQUE/BIONDI,-63.74818,-30.75769,249,Cañada de Luque,PRIVADO,Nacional,CÓRDOBA
CDS,Aeródromo,CAÑADÓN SECO,-67.55972222,-46.53805556,90,Cañadón Seco,PRIVADO,Nacional,SANTA CRUZ
CDU,Aeródromo,CONCEPCIÓN DEL URUGUAY,-58.30666667,-32.455,34,Concepción del Uruguay,PUBLICO,Nacional,ENTRE RÍOS
CED,Aeródromo,MERCEDES,-65.42051,-33.6422,515,Villa Mercedes,PUBLICO,Nacional,SAN LUIS
CEJ,Aeródromo,LAS CEJAS/AGROALAS SRL,-64.74583333,-26.86972222,346,Las Cejas,PRIVADO,Nacional,TUCUMÁN
CFU,Aeródromo,CARHUE/FUMAGRO,-62.78055556,-37.21472222,111,Carhué,PRIVADO,Nacional,BUENOS AIRES
CHA,Aeródromo,CHARATA,-61.21011,-27.21639,92,Charata,PUBLICO,Nacional,CHACO
CHC,Aeródromo,CHAJARI/EA. LA CHOZA,-58.29287,-30.53899,72,Chajarí,PRIVADO,Nacional,ENTRE RÍOS
CHJ,Aeródromo,CHAJARI,-58.00002,-30.7539,53,Chajarí,PUBLICO,Nacional,ENTRE RÍOS
CHM,Aeródromo,CHOS MALAL,-70.22305556,-37.44416667,850,Chos Malal,PUBLICO,Nacional,NEUQUÉN
CHO,Aeródromo,CHOLILA,-71.45682,-42.4806,574,Cholila,PRIVADO,Nacional,CHUBUT
CHP,Aeródromo,SAN MARTÍN DE LOS ANDES/AVIADOR C. CAMPOS,-71.13722222,-40.07527778,783,San Martín de los Andes,PUBLICO,Nacional,NEUQUÉN
CHR,Aeródromo,CHACHARRAMENDI,-65.64701,-37.34005,290,Chacharramendi,PUBLICO,Nacional,LA PAMPA
CHT,Aeródromo,CHARATA/EL GRINGO,-61.21041,-27.30629,92,Charata,PRIVADO,Nacional,CHACO
CHY,Aeródromo,CHIVILCOY,-60.03222222,-34.9625,53,Chivilcoy,PUBLICO,Nacional,BUENOS AIRES
CIF,Aeródromo,ARRECIFES/AEROCLUB,-60.04602,-34.07849,43,Arrecifes,PRIVADO,Nacional,BUENOS AIRES
CII,Aeródromo,CORRIENTES/ITA IBATE,-57.42222222,-27.44833333,68,Ita Ibate,PRIVADO,Nacional,CORRIENTES
CIP,Aeródromo,CIPOLLETTI/AEROCLUB,-67.98888889,-38.89277778,270,Cipolletti,PUBLICO,Nacional,RÍO NEGRO
CIT,Aeródromo,CORRIENTES/ITATI,-58.31527778,-27.30333333,60,Itatí,PRIVADO,Nacional,CORRIENTES
CLD,Aeródromo,CHAÑAR LADEADO,-62.03693,-33.3391,112,Chañar Ladeado,PUBLICO,Nacional,SANTA FÉ
CLE,Aeródromo,CORRALITO/LOMAS DEL ESPINILLO,-64.16972222,-32.08805556,439.5,Río Tercero,PRIVADO,Nacional,CÓRDOBA
CLH,Aeródromo,LAS HERAS,-68.96583,-46.53848,330,Las Heras,PUBLICO,Nacional,SANTA CRUZ
CLI,Aeródromo,CALILEGUA,-64.74972222,-23.78166667,442,Calilegua,PRIVADO,Nacional,JUJUY
CLN,Aeródromo,COLÓN,-58.15611111,-32.26083333,20,Colón,PUBLICO,Nacional,ENTRE RÍOS
CLT,Aeródromo,COLONIA CATRIEL,-67.82881,-37.90819,313,Catriel,PUBLICO,Nacional,RÍO NEGRO
CNA,Aeródromo,CAÑUELAS,-58.72638889,-35.11166667,30,Cañuelas,PUBLICO,Nacional,BUENOS AIRES
CNO,Aeródromo,CARMEN DE ARECO,-59.87444444,-34.41805556,49,Carmen de Areco,PUBLICO,Nacional,BUENOS AIRES
CNS,Aeródromo,CANALS,-62.86911,-33.56247,116,Canals,PRIVADO,Nacional,CÓRDOBA
COA,Aeródromo,ARIAS,-62.37505556,-33.66431111,121.5,Arias,PRIVADO,Nacional,CÓRDOBA
COL,Aeródromo,RÍO COLORADO,-64.14027778,-38.995,84,Río Colorado,PRIVADO,Nacional,RÍO NEGRO
CON,Aeródromo,COLÓN,-61.04638889,-33.9225,90,Colón,PUBLICO,Nacional,BUENOS AIRES
CPO,Aeródromo,CAMPO DE MAYO,-58.672,-34.53433,24,Estación San Miguel,PRIVADO,Nacional,BUENOS AIRES
CQN,Aeródromo,COSQUIN/SANTA MARÍA,-64.45555556,-31.28583333,700,Cosquín,PRIVADO,Nacional,CÓRDOBA
CQZ,Aeródromo,CAÑADA QUIROZ,-58.7175,-27.54972222,55,Corrientes,PRIVADO,Nacional,CORRIENTES
CRD,Aeródromo,CONCORDIA/AEROCLUB,-58.015,-31.30388889,90,Concordia,PUBLICO,Nacional,ENTRE RÍOS
CRR,Aeródromo,CORRIENTES,-58.76194444,-27.44555556,61.5,Corrientes,PUBLICO,Internacional,CORRIENTES
CRV,Aeródromo,COMODORO RIVADAVIA/GRAL. E. MOSCONI,-67.46555556,-45.78527778,57.6,Comodoro Rivadavia,PUBLICO,Internacional,CHUBUT
CSA,Aeródromo,CALCHÍN/AEROCAMPO SERVICIOS AÉREOS,-63.27608,-31.65737,202,Calchín,PRIVADO,Nacional,CÓRDOBA
CSJ,Aeródromo,MORTEROS/CAMPO SAN JOSÉ,-62.01466,-30.77697,101,Morteros,PRIVADO,Nacional,CÓRDOBA
CSP,Aeródromo,CAPITÁN SARMIENTO/SAN PATRICIO,-59.69444444,-34.04027778,45,Capitán Sarmiento,PRIVADO,Nacional,BUENOS AIRES
CSQ,Aeródromo,CAPITÁN SARMIENTO/QUEBRACHO HERRADO,-59.87336,-34.15622,52,Capitán Sarmiento,PRIVADO,Nacional,BUENOS AIRES
CSR,Aeródromo,CARLOS CASARES,-61.39401,-35.6298,80,Carlos Casares,PUBLICO,Nacional,BUENOS AIRES
CSU,Aeródromo,CHAJARI/SUR,-58.01428056,-30.80216944,69,Chajarí,PRIVADO,Nacional,ENTRE RÍOS
CTA,Aeródromo,COPETONAS,-60.55343,-38.74354,51,Copetonas,PRIVADO,Nacional,BUENOS AIRES
CTP,Aeródromo,CATRILO/ESTABLECIMIENTO LA MARIA PILAR,-63.43305556,-36.48861111,125,Catrilo,PRIVADO,Nacional,LA PAMPA
CTS,Aeródromo,CAPITÁN SARMIENTO,-59.73148,-34.16435,49,Capitán Sarmiento,PUBLICO,Nacional,BUENOS AIRES
CUA,Aeródromo,RÍO CUARTO/AEROCLUB,-64.33722222,-33.16055556,424,Río Cuarto,PUBLICO,Nacional,CÓRDOBA
CUM,Aeródromo,LA CUMBRE,-64.5321,-31.00589,1138,La Cumbre,PUBLICO,Nacional,CÓRDOBA
CUT,Aeródromo,CUTRAL-CO,-69.265,-38.93972222,650,Cutral Có,PUBLICO,Nacional,NEUQUÉN
CVV,Aeródromo,VILLA VALERIA,-64.90111111,-34.35638889,290,Villa Valeria,PRIVADO,Nacional,CÓRDOBA
CZU,Aeródromo,CURUZÚ CUATIÁ/AEROCLUB,-58.09694444,-29.77888889,80,Curuzú Cuatiá,PUBLICO,Nacional,CORRIENTES
DAR,Aeródromo,DARREGUEIRA,-63.16253,-37.7122,198,Darregueira,PRIVADO,Nacional,BUENOS AIRES
DFR,Aeródromo,DAIREAUX/FUMIGACIONES RODRIGUEZ,-61.77504,-36.59076,113,Daireaux,PUBLICO,Nacional,BUENOS AIRES
DIA,Aeródromo,CONCORDIA/COMODORO PIERRESTEGUI,-57.99666667,-31.29694444,34,Concordia,PUBLICO,Nacional,ENTRE RÍOS
DIL,Aeródromo,TANDIL/HÉROES DE MALVINAS,-59.22858611,-37.23437778,175,Tandil,PUBLICO,Nacional,BUENOS AIRES
DIO,Aeródromo,TANDIL/COMANDANTE EDUARDO A. OLIVERO,-58.98268,-37.34678,193,Tandil,PUBLICO,Nacional,BUENOS AIRES
DOF,Aeródromo,MARTINEZ DE HOZ/FUMIGACIONES ORTEGA,-61.55366,-35.27799,89,Coronel Martinez de Hoz,PRIVADO,Nacional,BUENOS AIRES
DOL,Aeródromo,DOLORES,-57.72055556,-36.32,10,Dolores,PUBLICO,Nacional,BUENOS AIRES
DOP,Aeródromo,MENDOZA/LA PUNTILLA,-68.87395,-32.96254,942,Ap. El Plumerillo,PUBLICO,Nacional,MENDOZA
DOR,Aeródromo,CORONEL DORREGO,-61.25583333,-38.74111111,120,Coronel Dorrego,PUBLICO,Nacional,BUENOS AIRES
DOZ,Aeródromo,MENDOZA/EL PLUMERILLO,-68.79277778,-32.83166667,704,Mendoza,PUBLICO,Internacional,MENDOZA
DRA,Aeródromo,SAAVEDRA,-62.33392,-37.74961,317,Saavedra,PUBLICO,Nacional,BUENOS AIRES
DRX,Aeródromo,DAIREAUX,-61.78416667,-36.58277778,116,Daireaux,PRIVADO,Nacional,BUENOS AIRES
DRY,Aeródromo,PUERTO MADRYN/EL TEHUELCHE,-65.10277778,-42.75916667,130,Puerto Madryn,PUBLICO,Nacional,CHUBUT
DTE,Aeródromo,DIAMANTE,-60.58329,-32.01621,75,Diamante,PUBLICO,Nacional,ENTRE RÍOS
EAU,Aeródromo,USHUAIA/EST. AERONAVAL,-68.30416667,-54.82277778,6,Ushuaia,PRIVADO,Nacional,TIERRA DEL FUEGO ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR
EBF,Aeródromo,ESPERANZA/ANIBAL BRIZI,-60.89944444,-31.40555556,39,Esperanza,PRIVADO,Nacional,SANTA FÉ
ECA,Aeródromo,EL CALAFATE,-72.05305556,-50.28,204,El Calafate,PUBLICO,Nacional,SANTA CRUZ
ECX,Aeródromo,EDUARDO CASTEX,-64.275,-35.88222222,183,Eduardo Castex,PUBLICO,Nacional,LA PAMPA
EDO,Aeródromo,CORONEL OLMEDO,-64.14083,-31.48679,432,Coronel Olmedo,PUBLICO,Nacional,CÓRDOBA
EGO,Aeródromo,LAS PAREJAS/EL GAUCHO,-61.54444444,-32.62944444,105,Las Parejas,PRIVADO,Nacional,SANTA FÉ
ELC,Aeródromo,VEINTICINCO DE MAYO/ESTANCIA LA CRIOLLA,-60.12916667,-35.53666667,48,25 de Mayo,PRIVADO,Nacional,BUENOS AIRES
ELD,Aeródromo,ELDORADO,-54.57472222,-26.39694444,209,Eldorado,PUBLICO,Nacional,MISIONES
ELL,Aeródromo,MAR DEL SUR/EA. LUCILA,-58.105,-38.30861111,22,Mar del Sur,PRIVADO,Nacional,BUENOS AIRES
ELP,Aeródromo,SANTA ROSA/EL PAMPERO,-64.18672,-36.59712,178,Santa Rosa,PUBLICO,Nacional,LA PAMPA
ELZ,Aeródromo,ELIZALDE,-57.9625,-34.975,7,Rufino de Elizalde,PUBLICO,Nacional,BUENOS AIRES
EMA,Aeródromo,EL MAITÉN,-71.17083333,-42.03,718,El Maitén,PUBLICO,Nacional,CHUBUT
EML,Aeródromo,CORONEL BRANDSEN/EL MANANTIAL,-58.35994,-35.19441,15,Coronel Brandsen,PRIVADO,Nacional,BUENOS AIRES
ENO,Aeródromo,MARIANO MORENO,-58.78972222,-34.56,32,José C. Paz,PUBLICO,Nacional,BUENOS AIRES
ENV,Aeródromo,RIACHUELO/NUEVA VALENCIA,-58.819,-27.58744,57,Corrientes,PRIVADO,Nacional,CORRIENTES
EPZ,Aeródromo,ESPERANZA,-60.84527778,-31.47333333,38,Esperanza,PUBLICO,Nacional,SANTA FÉ
ERE,Aeródromo,CERES,-61.92696,-29.87161,87,Ceres,PUBLICO,Nacional,SANTA FÉ
ERT,Aeródromo,VILLA MERCEDES/EA. DON ROBERTO,-65.36657,-34.0011,436,Villa Mercedes,PRIVADO,Nacional,SAN LUIS
ESN,Aeródromo,ESQUINA,-59.53521,-30.04762,39,Esquina,PUBLICO,Nacional,CORRIENTES
ESQ,Aeródromo,ESQUEL/BRIGADIER GENERAL ANTONIO PARODI,-71.13554,-42.90381,799,Esquel,PUBLICO,Nacional,CHUBUT
